title,authors,description,ISBN
Along Came a Spider,['James Patterson'],"Discover the classic thriller that launched the #1 detective series of the past twenty-five years, now one of PBS's ""100 Great American Reads"" Alex Cross is a homicide detective with a Ph.D. in psychology. He works and lives in the ghettos of D. C. and looks like Muhammad Ali in his prime. He's a tough guy from a tough part of town who wears Harris Tweed jackets and likes to relax by banging out Gershwin tunes on his baby grand piano. But he also has two adorable kids of his own, and they are his own special vulnerabilities. Jezzie Flanagan is the first woman ever to hold the highly sensitive job as supervisor of the Secret Service in Washington. Blond, mysterious, seductive, she's got an outer shell that's as tough as it is beautiful. She rides her black BMW motorcycle at speeds of no less than 100 mph. What is she running from? What is her secret? Alex Cross and Jezzie Flanagan are about to have a forbidden love affair-at the worst possible time for both of them. Because Gary Soneji, who wants to commit the ""crime of the century,"" is playing at the top of his game. Soneji has outsmarted the FBI, the Secret Service, and the police. Who will be his next victim? Gary Soneji is every parent's worst nightmare. He has become Alex Cross's nightmare. And now, reader, he's about to become yours.",0446364193
Left Behind,"['Tim LaHaye', 'Tim F. LaHaye', 'Jerry B. Jenkins']","After millions of people around the world vanish in one moment, in what many claim to be the Rapture, Rayford Steele begins a search for the truth amidst global chaos",0842329129
The Hours,['Michael Cunningham'],"The Pulitzer Prize-winning novel becomes a motion picture starring Meryl Streep, Julianne Moore, and Nicole Kidman, directed by Stephen Daldry from a screenplay by David Hare The Hours tells the story of three women: Virginia Woolf, beginning to write Mrs. Dalloway as she recuperates in a London suburb with her husband in 1923; Clarissa Vaughan, beloved friend of an acclaimed poet dying from AIDS, who in modern-day New York is planning a party in his honor; and Laura Brown, in a 1949 Los Angeles suburb, who slowly begins to feel the constraints of a perfect family and home. By the end of the novel, these three stories intertwine in remarkable ways, and finally come together in an act of subtle and haunting grace. The Hours is the winner of the 1999 Pulitzer Prize for Fiction.",0312305060
Mystic River,['Dennis Lehane'],"When they were children, Sean Devine, Jimmy Marcus, and Dave Boyle were friends. But then a strange car drove up their street. One boy got in the car, two did not, and something terrible happened -- something that ended their friendship and changed all three boys forever. Twenty-five years later, Sean is a homicide detective. Jimmy is an ex-con. And Dave is trying to hold his marriage together and keep his demons at bay-demons that urge him to do horrific things. When Jimmy's daughter is found murdered, Sean is assigned to the case. His investigation brings him into serious conflict with Jimmy. And then there is Dave, who came home covered in someone else's blood the night Jimmy's daughter died. While Sean attempts to use the law to return peace and order to the neighborhood, Jimmy finds his need for vengeance pushing him ever closer to a moral abyss from which he won't be able to return. A tense and unnerving psychological thriller, Mystic River is also an epic novel of love, loyalty, faith, and family.",0380731851
Congo,['Michael Crichton'],"Armed with the latest gifts of advanced technology, a California scientist, a ruthless corporation agent, and a mercenary hunter face the dangers of the Congo jungle in search of the diamonds of the lost city of Zinj",0345378490
"""A"" is for Alibi",['Sue Grafton'],"Laurence Fife was a slick divorce lawyer and slippery ladies' man. Until someone killed him. The jury believed that it was his pretty young wife Nikki, so they sent her to prison for eight years. Now, Nikki's out on parole and Kinsey Miihone's in for trouble. Nikki hires Kinsey to discover who really killed her husband. But the trail is eight years cold, and at the end is a chilling twist even Kinsey doesn't suspect -- a second eight-year-old murder and a brand new corpse.",0553279912
Hannibal,['Thomas Harris'],"Seven years after his escape from the authorities, Hannibal Lecter, a serial killer, is tracked down by one of his former victims using FBI agent Clarice Starling as bait, in the sequel to The Silence of the Lambs. Reissue.",0440224675
A Walk to Remember,['Nicholas Sparks'],"A high school rebel and a minister's daughter find strength in each other in this star-crossed tale of ""young but everlasting love"" (Chicago Sun-Times). There was a time when the world was sweeter....when the women in Beaufort, North Carolina, wore dresses, and the men donned hats.... Every April, when the wind smells of both the sea and lilacs, Landon Carter remembers 1958, his last year at Beaufort High. Landon had dated a girl or two, and even once sworn that he'd been in love. Certainly the last person he thought he'd fall for was Jamie, the shy, almost ethereal daughter of the town's Baptist minister....Jamie, who was destined to show him the depths of the human heart-and the joy and pain of living. The inspiration for this novel came from Nicholas Sparks's sister: her life and her courage. From the internationally bestselling author Nicholas Sparks, comes his most moving story yet....",0446608955
Fall on your knees,['Ann-Marie MacDonald'],"Spanning five generations and moving from Cape Breton Island in Nova Scotia, to the bleak landscape of World War I, and to the emerging jazz scene in New York City, this epic tale tells the story of four sisters",0743237188
Balzac and the Little Chinese Seamstress,['Sijie Dai'],"During the Chinese Cultural Revolution, two boys are sent to the country for reeducation, where their lives take an unexpected turn when they meet the beautiful daughter of a local tailor and stumble upon a forbidden stash of Western literature.",0385722206
Stupid White Men,['Michael Moore'],"Remember when everything was looking up? When the government was running at a surplus, pollution was disappearing, peace was breaking out in the Middle East and Northern Ireland, and the Bridge to the 21st century was strung with high–speed Internet cable and paved with 401K gold? Well, so much for the future. Michael Moore, the award–winning provocateur behind Roger & Me and the bestseller Downsize This!, now returns to size up the new century – and that big, ugly special–interest group that's laying waste to the world as we know it: stupid white men. Whether he's calling for United Nations action to overthrow the Bush Family Junta, calling on African–Americans to place 'whites only' signs over the entrances of unfriendly businesses, or praying that Jesse Helms will get kissed by a man, Stupid White Men is Mike's Manifesto on Malfeasance and Mediocrity. So if you're feeling the same way and you're wondering what's going to give out first – the economy, Dick Cheney's pacemaker, or your new VW Beetle – here's the book for you.",0060392452
The Hobbit,['J.R.R. Tolkien'],"The stirring adventure that begins The Lord of the Rings, the greatest fantasy epic of all time When Thorin Oakenshield and his band of dwarves embark upon a dangerous quest to reclaim the hoard of gold stolen from them by the evil dragon Smaug, Gandalf the wizard suggests an unlikely accomplice: Bilbo Baggins, an unassuming Hobbit dwelling in peaceful Hobbiton. Along the way, the company faces trolls, goblins, giant spiders, and worse. But as they journey from the wonders of Rivendell to the terrors of Mirkwood and beyond, Bilbo will find that there is more to him than anyone—himself included—ever dreamed. Unexpected qualities of courage and cunning, and a love of adventure, propel Bilbo toward his great destiny . . . a destiny that waits in the dark caverns beneath the Misty Mountains, where a twisted creature known as Gollum jealously guards a precious magic ring.",0345339681
Icy Sparks,['Gwyn Hyman Rubio'],"A New York Times Notable Book and the March 2001 selection of Oprah's Book Club® ! Icy Sparks is the sad, funny and transcendent tale of a young girl growing up in the mountains of Eastern Kentucky during the 1950’s. Gwyn Hyman Rubio’s beautifully written first novel revolves around Icy Sparks, an unforgettable heroine in the tradition of Scout in To Kill a Mockingbird or Will Treed in Cold Sassy Tree. At the age of ten, Icy, a bright, curious child orphaned as a baby but raised by adoring grandparents, begins to have strange experiences. Try as she might, her ""secrets""—verbal croaks, groans, and physical spasms—keep afflicting her. As an adult, she will find out she has Tourette’s Syndrome, a rare neurological disorder, but for years her behavior is the source of mystery, confusion, and deep humiliation. Narrated by a grown up Icy, the book chronicles a difficult, but ultimately hilarious and heartwarming journey, from her first spasms to her self-acceptance as a young woman. Curious about life beyond the hills, talented, and energetic, Icy learns to cut through all barriers—physical, mental, and spiritual—in order to find community and acceptance. Along her journey, Icy faces the jeers of her classmates as well as the malevolence of her often-ignorant teachers—including Mrs. Stilton, one of the most evil fourth grade teachers ever created by a writer. Called willful by her teachers and ""Frog Child"" by her schoolmates, she is exiled from the schoolroom and sent to a children’s asylum where it is hoped that the roots of her mysterious behavior can be discovered. Here Icy learns about difference—her own and those who are even more scarred than she. Yet, it isn’t until Icy returns home that she really begins to flower, especially through her friendship with the eccentric and obese Miss Emily, who knows first-hand how it feels to be an outcast in this tightly knit Appalachian community. Under Miss Emily’s tutelage, Icy learns about life’s struggles and rewards, survives her first comical and heartbreaking misadventure with romance, discovers the healing power of her voice when she sings, and ultimately—takes her first steps back into the world. Gwyn Hyman Rubio’s Icy Sparks is a fresh, original, and completely redeeming novel about learning to overcome others’ ignorance and celebrate the differences that make each of us unique.",0142000205
The Handmaid's Tale,['Margaret Atwood'],"""Splendid."" NEWSWEEK It is the world of the near future, and Offred is a Handmaid in the home of the Commander and his wife. She is allowed out once a day to the food market, she is not permitted to read, and she is hoping the Commander makes her pregnant, because she is only valued if her ovaries are viable. Offred can remember the years before, when she was an independent woman, had a job of her own, a husband and child. But all of that is gone now...everything has changed. ""Deserves the highest praise."" SAN FRANCISCO CHRONICLE From the Paperback edition.",0449212602
The Kitchen God's Wife,['Amy Tan'],"A Chinese immigrant convinced she is dying threatens to celebrate the Chinese New Year by unburdening herself of everybody's secrets, thus prompting a series of misunderstandings. By the author of The Joy Luck Club. Reprint.",080410753X
The Queen of the Damned,['Anne Rice'],"The sequel to The Vampire Lestat intertwines the stories of rock star and vampire Lestat, beautiful twins haunted by a gruesome tragedy, and Akasha, mother of all vampires, who dreams of godhood. Reissue.",0345351525
Bridget Jones's Diary,['Helen Fielding'],"USA Today's top 100 books to read while stuck at home social distancing The iconic #1 bestseller by Helen Fielding; Bridget Jones is now the inspiration for the September 2016 Working Title film release of Bridget Jones's Baby, starring Renee Zellweger, Colin Firth, Patrick Dempsey and Emma Thompson. Bridget Jones's Diary is the devastatingly self-aware, laugh-out-loud account of a year in the life of a thirty-something Singleton on a permanent doomed quest for self-improvement. Caught between the joys of Singleton fun, and the fear of dying alone and being found three weeks later half eaten by an Alsatian; tortured by Smug Married friends asking, ""How's your love life?"" with lascivious, yet patronizing leers, Bridget resolves to: reduce the circumference of each thigh by 1.5 inches, visit the gym three times a week not just to buy a sandwich, form a functional relationship with a responsible adult and learn to program the VCR. With a blend of flighty charm, existential gloom, and endearing self-deprecation, Bridget Jones's Diary has touched a raw nerve with millions of readers the world round. Read it and laugh—before you cry, ""Bridget Jones is me!""",014028009X
